Predictor variable,Categorical,Sample average
bio01nz,false,102.52671755725191
bio05nz,false,202.48091603053436
bio06nz,false,9.061068702290076
bio12nz,false,1935.1984732824428
bio13nz,false,198.05343511450383
bio14nz,false,108.77862595419847
