X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.0028811773491393073,74.95201678872593,0.83101828559606
2.0,2.0,train,0.00204947049703324,51.0394590414062,0.7176820304236606
3.0,3.0,train,0.002624060102633911,66.73517357850244,0.801962443716262
4.0,4.0,train,0.002819841744230225,73.23787548700278,0.8244997435770273
5.0,5.0,train,0.003491277212034753,90.89361173399358,0.8840336625672544
6.0,6.0,train,0.0028849341508457855,75.24098498434618,0.8314095837745734
7.0,7.0,train,5.575572407429624E-4,10.818197285796463,0.2911183431254819
8.0,8.0,train,6.925902053141034E-4,13.541429353222036,0.3477941632323822
9.0,9.0,train,0.003350953083527003,88.48679103968067,0.8735441167732082
10.0,10.0,train,0.0019073699401812576,47.125470184568385,0.6918077554052499
11.0,11.0,train,0.0024921584035739143,63.12094244367729,0.7851687616565064
12.0,12.0,train,0.0030787260935560648,81.78845598832172,0.8504121493192329
13.0,13.0,train,0.00263445186454759,67.78782035789567,0.803228340059273
14.0,14.0,train,0.0021353868062230657,55.01543337150778,0.732260277351091
15.0,15.0,train,0.0029365694711249724,76.98809606119492,0.8366968613892831
16.0,16.0,train,0.0017265115086555673,42.354766813035106,0.6554184150973272
17.0,17.0,train,0.002154880556098296,55.65910191024529,0.7354617647562345
18.0,18.0,train,0.002317919644731263,59.2963946794014,0.7607820815929411
19.0,19.0,train,0.002629753556367185,67.26140494286538,0.8026570101788765
20.0,20.0,train,0.0032469078510888945,86.50371801673104,0.8651585750333477
21.0,21.0,train,0.0035850267899116507,92.31387307497434,0.8905522345100949
22.0,22.0,train,0.002319863645313391,59.48081853485696,0.7610688839954792
23.0,23.0,train,0.0026533256315710804,68.845988174354,0.8055068328173376
24.0,24.0,train,0.0046439464559295774,99.02112087377708,0.943060364856638
25.0,25.0,train,0.00297039621811091,78.46781475014744,0.8400703791333741
26.0,26.0,train,0.002371444035889111,59.95448584398852,0.7685543185152437
27.0,27.0,train,0.0029824318039256095,79.06500187890852,0.841253795361226
28.0,28.0,train,7.002845853981113E-4,13.802193101128998,0.35088361081068786
29.0,29.0,train,0.002261234078501311,57.868130456099436,0.7522660471340714
30.0,30.0,train,0.0021042852378393563,53.75825166606029,0.7270720074588098
31.0,31.0,train,0.0013556054881422913,30.00276178729735,0.5667929753585677
32.0,32.0,train,0.0012891937328227477,28.01306651452076,0.5486702616038948
33.0,33.0,train,0.0029685393630925405,78.17132144816864,0.8398870173153165
34.0,34.0,train,0.0026217054288620854,65.9479447024525,0.8016744738594059
35.0,35.0,train,0.003985054776445533,96.0872448338356,0.9144935771283786
36.0,36.0,train,0.0011225362953176943,23.738506744906307,0.49978303266128565
37.0,37.0,train,0.0010298315306801014,21.010707701913542,0.47033234979651106
38.0,38.0,train,0.0028634845992380423,74.37716691969715,0.8291632117191221
39.0,39.0,train,0.0010129553667932284,20.804999795343733,0.46478744971346075
40.0,40.0,train,7.893162909630407E-4,15.331755035588417,0.3855848293602723
41.0,41.0,train,9.419372981384892E-4,19.269068157219934,0.44081019043571834
42.0,42.0,train,0.0011166035869788018,23.59304832171564,0.497948354858318
43.0,43.0,train,5.108076510308647E-4,10.008066246106532,0.2703699606420773
44.0,44.0,train,0.0017051780829603555,41.326600405629314,0.650852081293803
45.0,45.0,train,0.001498809801532223,34.85902789644671,0.6034330676882655
46.0,46.0,train,0.0023005517978284774,58.55505833025216,0.7582044417701468
47.0,47.0,train,0.002908471884004234,76.11000790293193,0.8338406703162276
48.0,48.0,train,0.0010932479422065132,22.858594515001858,0.49066004464209134
49.0,49.0,train,0.0012516360621426146,27.22080856751987,0.5380877625542067
50.0,50.0,train,0.0019394671901449775,49.05623901501243,0.6978520932452263
51.0,51.0,train,0.00238778062809989,60.43181237682593,0.770875859908366
52.0,52.0,train,0.002403583199443013,60.91192688087175,0.7730993537455763
53.0,53.0,train,0.0037753312587034266,94.15651795365328,0.9026793530250039
54.0,54.0,train,0.0027223577300705014,70.19555586374986,0.813618143999638
55.0,55.0,train,5.566930982787104E-4,10.799526909377327,0.2907402245215679
56.0,56.0,train,0.002091927380181458,53.52934523117658,0.7249827043810878
57.0,57.0,train,6.536753084267288E-4,12.461154743257755,0.33194235579692033
58.0,58.0,train,0.0024900892106213854,62.871461682332395,0.7848942701665468
59.0,59.0,train,0.0011561855042589156,25.069884737372156,0.5100628457318619
60.0,60.0,train,0.0019285653968105535,47.894420508009006,0.6958125526118971
61.0,61.0,train,0.003011522623209962,79.96334387552504,0.844078155673605
62.0,62.0,train,0.002683258409151823,69.38280274435904,0.8090664204028188
63.0,63.0,train,9.2631651762808E-4,18.828235214160138,0.4353937993260969
64.0,64.0,train,0.0014179074939699103,31.77325826634003,0.5831321045029749
65.0,65.0,train,0.002965260806675606,77.87459816156998,0.839562751048488
66.0,66.0,train,0.002617196712234863,65.68594448790132,0.8011219016656272
67.0,67.0,train,8.304442334928838E-4,16.4865262600693,0.40098241227070364
68.0,68.0,train,0.002767313264224351,72.39672765377694,0.8187176698933487
69.0,69.0,train,0.0029576323437014904,77.57809015769799,0.8388057124386914
70.0,70.0,train,0.0010710912816850261,22.05949652406047,0.4836481141509721
71.0,71.0,train,0.0020842273655773524,52.69407641948387,0.723672808031095
72.0,72.0,train,0.003165846238685675,85.54320066490808,0.8582418687635822
73.0,73.0,train,5.244946874568366E-4,10.33345800942149,0.276506626899079
74.0,74.0,train,0.0015911188034535134,39.33662178531626,0.6253915816286866
