x,y,species cloglog values
227.0,227.0,0.07272646
228.0,228.0,0.6042343
229.0,229.0,0.027340252
230.0,230.0,0.027829083
231.0,231.0,0.7397574
232.0,232.0,0.59578335
233.0,233.0,0.60544205
234.0,234.0,0.13443218
235.0,235.0,0.6407635
236.0,236.0,0.0871438
237.0,237.0,0.22640237
238.0,238.0,0.7310832
239.0,239.0,0.079858735
240.0,240.0,0.12847866
241.0,241.0,0.039569777
242.0,242.0,0.21246636
243.0,243.0,0.58498436
244.0,244.0,0.4844824
245.0,245.0,0.33650002
246.0,246.0,0.6222109
247.0,247.0,0.91732025
248.0,248.0,0.818541
249.0,249.0,0.22454616
250.0,250.0,0.012286139
251.0,251.0,0.23027362
252.0,252.0,0.17288944
253.0,253.0,0.2026261
254.0,254.0,0.053171255
255.0,255.0,0.18417065
256.0,256.0,0.68998986
257.0,257.0,0.16633429
258.0,258.0,0.062815025
259.0,259.0,0.7219971
260.0,260.0,0.14529504
261.0,261.0,0.4635355
262.0,262.0,0.8574967
263.0,263.0,0.30457786
264.0,264.0,0.0014146128
265.0,265.0,0.007101189
266.0,266.0,0.37380922
267.0,267.0,0.23004997
268.0,268.0,0.49530792
269.0,269.0,0.8420141
270.0,270.0,0.14272107
271.0,271.0,0.004292887
272.0,272.0,0.028974
273.0,273.0,0.028856412
274.0,274.0,0.41252175
275.0,275.0,0.05254293
276.0,276.0,0.59728754
277.0,277.0,0.65189135
278.0,278.0,0.18646485
279.0,279.0,0.024009757
280.0,280.0,0.20346214
281.0,281.0,0.4799089
282.0,282.0,0.43963054
283.0,283.0,0.024535356
284.0,284.0,0.68269056
285.0,285.0,0.8582628
286.0,286.0,0.13529082
287.0,287.0,0.021265285
288.0,288.0,0.6972096
289.0,289.0,0.118474975
290.0,290.0,0.031072076
291.0,291.0,0.5220014
292.0,292.0,0.5847702
293.0,293.0,0.1597501
294.0,294.0,0.68105084
295.0,295.0,0.24705698
296.0,296.0,0.16179731
297.0,297.0,0.6313789
298.0,298.0,0.4611067
299.0,299.0,0.21536566
300.0,300.0,0.8539457
301.0,301.0,0.55467784
302.0,302.0,0.62442225
303.0,303.0,0.64847845
304.0,304.0,0.0015251748
305.0,305.0,0.65159297
306.0,306.0,0.00967594
307.0,307.0,0.60535645
308.0,308.0,0.122751825
309.0,309.0,0.73072875
310.0,310.0,0.66853064
311.0,311.0,0.07622641
312.0,312.0,0.6519461
313.0,313.0,0.14177786
314.0,314.0,0.27451366
315.0,315.0,0.041777544
316.0,316.0,0.198059
317.0,317.0,0.5635557
318.0,318.0,0.6968536
319.0,319.0,0.12066839
320.0,320.0,0.02342246
321.0,321.0,0.44152024
322.0,322.0,0.70429367
323.0,323.0,0.2501882
324.0,324.0,0.029103145
325.0,325.0,0.004364213
326.0,326.0,0.23433834
327.0,327.0,0.34486482
328.0,328.0,0.33580232
329.0,329.0,0.013420519
330.0,330.0,0.80001205
331.0,331.0,0.40591204
332.0,332.0,0.7205595
333.0,333.0,0.017786555
334.0,334.0,0.19519489
335.0,335.0,0.17252249
336.0,336.0,0.15861504
337.0,337.0,0.4963508
338.0,338.0,0.45663857
339.0,339.0,0.68699205
340.0,340.0,0.72464997
341.0,341.0,0.10977955
342.0,342.0,0.0016580108
343.0,343.0,0.6150684
344.0,344.0,0.19414827
345.0,345.0,0.19582585
346.0,346.0,0.4479002
347.0,347.0,0.7927726
348.0,348.0,0.6756055
349.0,349.0,0.53718287
350.0,350.0,0.7499715
351.0,351.0,0.0036515077
352.0,352.0,0.37648377
353.0,353.0,0.50511163
354.0,354.0,0.14245845
355.0,355.0,0.34880504
356.0,356.0,0.49668333
357.0,357.0,0.47778618
358.0,358.0,0.48889905
359.0,359.0,0.48828983
360.0,360.0,0.2933726
361.0,361.0,0.11321631
362.0,362.0,0.12683745
363.0,363.0,0.005132319
364.0,364.0,0.032722745
365.0,365.0,0.12221712
366.0,366.0,0.29527378
367.0,367.0,0.37430096
368.0,368.0,0.66398
369.0,369.0,0.3065315
370.0,370.0,0.024860816
371.0,371.0,0.5932766
372.0,372.0,0.013302206
373.0,373.0,0.016379222
374.0,374.0,0.68777484
375.0,375.0,0.30526355
376.0,376.0,0.13282464
377.0,377.0,0.31794497
378.0,378.0,0.07004479
379.0,379.0,0.30187777
380.0,380.0,0.42010346
381.0,381.0,0.62384593
382.0,382.0,0.21057658
383.0,383.0,0.8514955
384.0,384.0,0.3438312
385.0,385.0,0.1420481
386.0,386.0,0.34176567
387.0,387.0,0.20123461
388.0,388.0,0.06799321
389.0,389.0,0.44244647
390.0,390.0,0.18675393
391.0,391.0,0.121588744
392.0,392.0,0.0063330187
393.0,393.0,0.0964207
394.0,394.0,0.5738241
395.0,395.0,0.1173526
396.0,396.0,0.8941092
397.0,397.0,0.053608935
398.0,398.0,0.3335536
399.0,399.0,0.0053446814
400.0,400.0,0.015738068
401.0,401.0,0.029369825
402.0,402.0,0.32533562
403.0,403.0,0.0027242969
404.0,404.0,0.01915638
405.0,405.0,0.69280773
406.0,406.0,0.8025979
407.0,407.0,0.6910906
408.0,408.0,0.025654346
409.0,409.0,0.8679436
410.0,410.0,0.60615945
411.0,411.0,0.70150596
412.0,412.0,0.95158386
413.0,413.0,0.019108457
414.0,414.0,0.73582697
415.0,415.0,0.19038492
416.0,416.0,0.8452678
417.0,417.0,0.13789614
418.0,418.0,0.3381784
419.0,419.0,0.0026578195
420.0,420.0,0.79836154
421.0,421.0,0.87977237
422.0,422.0,0.18876098
423.0,423.0,0.0050978754
424.0,424.0,0.2011628
425.0,425.0,0.60478896
426.0,426.0,0.1465713
427.0,427.0,0.109703474
428.0,428.0,0.032542937
429.0,429.0,0.51581275
430.0,430.0,0.28401265
431.0,431.0,0.69697124
432.0,432.0,0.50664544
433.0,433.0,0.0042765397
434.0,434.0,0.05862729
435.0,435.0,0.8048247
436.0,436.0,0.66228557
437.0,437.0,0.0014427287
438.0,438.0,0.112115234
439.0,439.0,7.177445E-4
440.0,440.0,0.22147802
441.0,441.0,0.2511787
442.0,442.0,0.34864128
443.0,443.0,0.031380657
444.0,444.0,0.31895286
445.0,445.0,0.015924254
446.0,446.0,0.43442437
447.0,447.0,0.93546134
448.0,448.0,0.10164346
449.0,449.0,0.4016412
450.0,450.0,0.39605418
451.0,451.0,0.81222814
452.0,452.0,0.7848374
453.0,453.0,0.26096365
454.0,454.0,0.7007159
455.0,455.0,0.73241025
456.0,456.0,0.824404
457.0,457.0,0.24840885
458.0,458.0,0.018258948
459.0,459.0,0.6334609
460.0,460.0,0.38163617
461.0,461.0,0.5508067
462.0,462.0,0.047883105
463.0,463.0,0.6825566
464.0,464.0,0.33501938
465.0,465.0,0.80741656
466.0,466.0,0.56051993
467.0,467.0,0.08401068
468.0,468.0,0.35298133
469.0,469.0,0.4038406
470.0,470.0,0.22346337
471.0,471.0,0.027308384
472.0,472.0,0.12308137
473.0,473.0,0.7447961
474.0,474.0,0.8326411
475.0,475.0,0.3725851
476.0,476.0,0.28224093
477.0,477.0,0.030521257
478.0,478.0,0.9032727
479.0,479.0,0.15171483
480.0,480.0,0.24358152
481.0,481.0,0.0058716307
482.0,482.0,0.059939366
483.0,483.0,0.6197956
484.0,484.0,0.084938236
485.0,485.0,0.561944
486.0,486.0,0.032993086
487.0,487.0,0.87811315
488.0,488.0,0.0032897664
489.0,489.0,0.42085582
490.0,490.0,0.2139723
491.0,491.0,0.87064284
492.0,492.0,0.5402513
493.0,493.0,0.13921772
494.0,494.0,0.24902657
495.0,495.0,0.86760217
496.0,496.0,0.10630989
497.0,497.0,0.008479833
498.0,498.0,0.3125136
499.0,499.0,0.054387797
500.0,500.0,0.7414862
501.0,501.0,0.6950583
502.0,502.0,0.41009563
503.0,503.0,0.050286863
504.0,504.0,0.8412538
505.0,505.0,0.5461714
506.0,506.0,0.6104029
507.0,507.0,0.8969697
508.0,508.0,0.10290736
509.0,509.0,0.83677155
510.0,510.0,0.050398655
511.0,511.0,0.009844624
512.0,512.0,0.015393927
513.0,513.0,0.06037972
514.0,514.0,0.122027375
515.0,515.0,0.07443218
516.0,516.0,0.08939988
517.0,517.0,0.17312858
518.0,518.0,0.41029546
519.0,519.0,0.27717337
520.0,520.0,0.473845
521.0,521.0,0.06090341
522.0,522.0,0.16393761
523.0,523.0,0.4417352
524.0,524.0,0.17936364
525.0,525.0,0.15846671
526.0,526.0,0.47489837
527.0,527.0,0.099681705
528.0,528.0,0.034266878
529.0,529.0,0.8018659
530.0,530.0,0.5031517
531.0,531.0,0.022485448
532.0,532.0,0.050588284
533.0,533.0,0.1679566
534.0,534.0,0.5325128
535.0,535.0,0.8256717
536.0,536.0,0.45084947
537.0,537.0,0.020312835
538.0,538.0,0.010179483
539.0,539.0,0.8838596
540.0,540.0,0.056735907
541.0,541.0,0.5680567
542.0,542.0,0.17905405
543.0,543.0,0.38665733
544.0,544.0,0.054677147
545.0,545.0,0.533744
546.0,546.0,0.5724779
547.0,547.0,0.79171115
548.0,548.0,0.15420201
549.0,549.0,0.042036504
550.0,550.0,3.478317E-4
551.0,551.0,0.79220945
552.0,552.0,0.13643788
553.0,553.0,0.36107323
554.0,554.0,0.38256958
555.0,555.0,0.11372017
556.0,556.0,0.40607062
557.0,557.0,0.66115963
558.0,558.0,0.27546334
559.0,559.0,0.51730543
560.0,560.0,0.33656245
561.0,561.0,0.11206911
562.0,562.0,0.5466369
563.0,563.0,0.006985309
564.0,564.0,0.028892247
565.0,565.0,0.0282625
566.0,566.0,0.4142322
567.0,567.0,0.012707451
568.0,568.0,0.90773207
569.0,569.0,0.30647346
570.0,570.0,0.88658696
571.0,571.0,0.12762408
572.0,572.0,0.028557725
573.0,573.0,0.71782386
574.0,574.0,0.009881787
575.0,575.0,0.63537055
576.0,576.0,0.20028767
577.0,577.0,0.020457374
578.0,578.0,0.26410037
579.0,579.0,0.4903178
580.0,580.0,0.34833252
581.0,581.0,0.14226009
582.0,582.0,0.25442925
583.0,583.0,0.2989366
584.0,584.0,0.7426979
585.0,585.0,0.001406809
586.0,586.0,0.115150295
587.0,587.0,0.41219926
588.0,588.0,0.39608005
589.0,589.0,0.21392919
590.0,590.0,0.73192096
591.0,591.0,0.91778016
592.0,592.0,0.2911741
593.0,593.0,0.23688163
594.0,594.0,0.22172295
595.0,595.0,0.51224077
596.0,596.0,0.8158805
597.0,597.0,0.0036090019
598.0,598.0,0.06661951
599.0,599.0,0.3437004
600.0,600.0,0.20012826
601.0,601.0,0.48510417
602.0,602.0,0.7031391
603.0,603.0,0.08421686
604.0,604.0,0.022264663
605.0,605.0,0.0023222277
606.0,606.0,0.013538277
607.0,607.0,0.07081536
608.0,608.0,0.12768069
609.0,609.0,0.1319043
610.0,610.0,0.7589397
611.0,611.0,0.12477865
612.0,612.0,0.3987149
613.0,613.0,0.12998767
614.0,614.0,0.6311713
615.0,615.0,5.078646E-4
616.0,616.0,0.13949962
617.0,617.0,0.39488128
618.0,618.0,0.091455996
619.0,619.0,0.097808
620.0,620.0,0.61403126
621.0,621.0,0.10862226
622.0,622.0,0.3104518
623.0,623.0,0.028934004
624.0,624.0,1.5205498E-4
625.0,625.0,0.77422833
626.0,626.0,0.18563983
627.0,627.0,0.07427272
628.0,628.0,0.19803423
629.0,629.0,0.7926852
630.0,630.0,0.05447505
631.0,631.0,0.7516657
632.0,632.0,0.3480176
633.0,633.0,0.034115214
634.0,634.0,0.4210438
635.0,635.0,0.21494232
636.0,636.0,0.0072474065
637.0,637.0,0.8268906
638.0,638.0,0.009853888
639.0,639.0,0.0014456747
640.0,640.0,2.6613972E-4
641.0,641.0,0.0023982965
642.0,642.0,0.0024473006
643.0,643.0,0.25904384
644.0,644.0,0.57178754
645.0,645.0,0.8298512
646.0,646.0,0.04980388
647.0,647.0,0.016593806
648.0,648.0,0.7675975
649.0,649.0,0.7064129
650.0,650.0,0.4326331
651.0,651.0,0.7836756
652.0,652.0,0.0939194
653.0,653.0,0.33666274
654.0,654.0,0.59663254
655.0,655.0,0.3993134
656.0,656.0,0.1876765
657.0,657.0,0.23707762
658.0,658.0,0.1685371
659.0,659.0,0.11952629
660.0,660.0,0.8181372
661.0,661.0,0.38063085
662.0,662.0,0.08450495
663.0,663.0,0.11645286
664.0,664.0,0.7945158
665.0,665.0,0.82827675
666.0,666.0,0.13077207
667.0,667.0,0.11189856
668.0,668.0,0.88020605
669.0,669.0,0.067040816
670.0,670.0,0.52421546
671.0,671.0,0.5745138
672.0,672.0,0.002217693
673.0,673.0,0.095574826
674.0,674.0,0.052829817
675.0,675.0,0.01789491
676.0,676.0,0.2218625
677.0,677.0,0.77214414
678.0,678.0,0.13210152
679.0,679.0,0.0036700377
680.0,680.0,0.2195358
681.0,681.0,0.2454089
682.0,682.0,0.6600142
683.0,683.0,0.0060312557
684.0,684.0,0.033680886
685.0,685.0,0.032244325
686.0,686.0,0.9213157
687.0,687.0,0.3005642
688.0,688.0,0.13079847
689.0,689.0,0.12655057
690.0,690.0,0.66999906
691.0,691.0,0.2544031
692.0,692.0,0.01736176
693.0,693.0,0.23844787
694.0,694.0,0.18442957
695.0,695.0,0.029331237
696.0,696.0,0.08178344
697.0,697.0,0.7200574
698.0,698.0,0.040413424
699.0,699.0,0.600613
700.0,700.0,0.021765156
701.0,701.0,0.21384375
702.0,702.0,0.09126014
703.0,703.0,0.77486545
704.0,704.0,0.0044310507
705.0,705.0,0.14727657
706.0,706.0,0.028329888
707.0,707.0,0.049587302
708.0,708.0,0.23972203
709.0,709.0,0.26021594
710.0,710.0,0.21619557
711.0,711.0,0.91614807
712.0,712.0,0.61378825
713.0,713.0,0.26188293
714.0,714.0,0.83433855
715.0,715.0,0.023943724
716.0,716.0,0.0052928664
717.0,717.0,0.72106194
718.0,718.0,0.42850333
719.0,719.0,2.201607E-4
720.0,720.0,0.0026997577
721.0,721.0,0.027350508
722.0,722.0,0.47047547
723.0,723.0,0.15610282
724.0,724.0,0.5392226
725.0,725.0,0.5848814
726.0,726.0,0.046803415
727.0,727.0,0.015740152
728.0,728.0,0.67405874
729.0,729.0,0.3260062
730.0,730.0,0.5848894
731.0,731.0,0.27032033
732.0,732.0,0.7059917
733.0,733.0,0.015997263
734.0,734.0,0.05595975
735.0,735.0,0.42520607
736.0,736.0,0.36447892
737.0,737.0,0.113846414
738.0,738.0,0.05351917
739.0,739.0,0.20580296
740.0,740.0,0.46352375
741.0,741.0,0.080671586
742.0,742.0,0.051351264
743.0,743.0,0.57460093
744.0,744.0,0.19691673
745.0,745.0,0.11133315
746.0,746.0,0.6254207
747.0,747.0,0.7332954
748.0,748.0,0.46030626
749.0,749.0,0.64304125
750.0,750.0,0.12933902
751.0,751.0,0.68163747
752.0,752.0,0.090243176
753.0,753.0,0.80542034
754.0,754.0,0.14213897
755.0,755.0,0.09059882
756.0,756.0,0.47797647
757.0,757.0,0.14862043
758.0,758.0,0.50342846
759.0,759.0,0.8556493
760.0,760.0,0.26611426
761.0,761.0,0.17335518
762.0,762.0,0.8883922
763.0,763.0,0.12001414
764.0,764.0,0.5367238
765.0,765.0,0.0044805147
766.0,766.0,0.016747834
767.0,767.0,0.56618977
768.0,768.0,0.13253716
769.0,769.0,0.4687501
770.0,770.0,0.127676
771.0,771.0,0.042725068
772.0,772.0,0.836659
773.0,773.0,0.58561784
774.0,774.0,0.70343
775.0,775.0,0.6970575
776.0,776.0,0.24140933
777.0,777.0,0.26154143
778.0,778.0,0.039219793
779.0,779.0,0.027521448
780.0,780.0,0.22952306
781.0,781.0,0.016667053
782.0,782.0,0.017795945
783.0,783.0,0.7379756
784.0,784.0,0.20991476
785.0,785.0,0.004577043
786.0,786.0,0.5653624
787.0,787.0,0.0074159247
788.0,788.0,0.14240293
789.0,789.0,0.59513235
790.0,790.0,0.58343834
791.0,791.0,0.13531819
792.0,792.0,1.5547549E-4
793.0,793.0,0.5354702
794.0,794.0,0.0021260502
795.0,795.0,0.0074750693
796.0,796.0,0.085712425
797.0,797.0,0.22754203
798.0,798.0,0.6725667
799.0,799.0,0.43660983
800.0,800.0,2.6519678E-4
801.0,801.0,0.2815693
802.0,802.0,0.12408989
803.0,803.0,0.26934627
804.0,804.0,0.09023611
805.0,805.0,0.20168257
806.0,806.0,0.5492268
807.0,807.0,0.0017633219
808.0,808.0,0.18961948
809.0,809.0,0.4834238
810.0,810.0,0.28459275
811.0,811.0,0.33841056
812.0,812.0,0.58350956
813.0,813.0,0.0074041556
814.0,814.0,0.0052042967
815.0,815.0,0.4892592
816.0,816.0,0.15754312
817.0,817.0,0.15696609
818.0,818.0,0.040475737
819.0,819.0,0.7237015
820.0,820.0,0.19705284
821.0,821.0,0.42406437
822.0,822.0,0.2746499
823.0,823.0,0.009062736
824.0,824.0,0.24256168
825.0,825.0,0.4248473
826.0,826.0,0.2554861
827.0,827.0,0.16577649
828.0,828.0,0.8104523
829.0,829.0,0.31094006
830.0,830.0,0.07806216
831.0,831.0,0.22221088
832.0,832.0,0.14998811
833.0,833.0,0.15158167
834.0,834.0,0.11245636
835.0,835.0,0.60768735
836.0,836.0,0.8457046
837.0,837.0,0.09808065
838.0,838.0,0.49716192
839.0,839.0,0.20089498
840.0,840.0,0.27530706
841.0,841.0,0.5673431
842.0,842.0,0.8165983
843.0,843.0,0.17859219
844.0,844.0,0.04887047
845.0,845.0,0.6798808
846.0,846.0,0.3648952
847.0,847.0,0.19642296
848.0,848.0,1.8878585E-4
849.0,849.0,0.11106223
850.0,850.0,0.3878388
851.0,851.0,0.046337966
852.0,852.0,0.7069922
853.0,853.0,0.8194254
854.0,854.0,0.61373883
855.0,855.0,0.7773847
856.0,856.0,0.89970297
857.0,857.0,0.4051429
858.0,858.0,0.056202423
859.0,859.0,0.17895806
860.0,860.0,0.067695625
861.0,861.0,0.6798117
862.0,862.0,0.20367293
863.0,863.0,0.019154621
864.0,864.0,3.1651577E-4
865.0,865.0,0.035118077
866.0,866.0,0.61949915
867.0,867.0,0.064628445
868.0,868.0,0.0023744018
869.0,869.0,0.50314593
870.0,870.0,0.050853238
871.0,871.0,0.13480149
872.0,872.0,0.1682591
873.0,873.0,0.17716463
874.0,874.0,0.20424525
875.0,875.0,0.04147356
876.0,876.0,0.43052033
877.0,877.0,0.11680491
878.0,878.0,0.20996068
879.0,879.0,0.53736633
880.0,880.0,0.51995367
881.0,881.0,0.16717154
882.0,882.0,0.022721648
883.0,883.0,0.3248313
884.0,884.0,0.22327656
885.0,885.0,0.1596369
886.0,886.0,0.8532301
887.0,887.0,0.21597797
888.0,888.0,0.20578168
889.0,889.0,0.18364844
890.0,890.0,0.40199262
891.0,891.0,0.39011094
892.0,892.0,6.598943E-4
893.0,893.0,0.61847967
894.0,894.0,0.29023194
895.0,895.0,0.50391245
896.0,896.0,0.5743818
897.0,897.0,0.6678704
898.0,898.0,0.9168297
899.0,899.0,0.59296495
900.0,900.0,0.841213
901.0,901.0,0.8547445
902.0,902.0,0.11336878
903.0,903.0,0.15367654
904.0,904.0,0.87754816
905.0,905.0,0.059668243
906.0,906.0,0.49214157
907.0,907.0,0.051484663
908.0,908.0,0.03746068
909.0,909.0,0.5166917
910.0,910.0,0.7863701
911.0,911.0,0.007907372
912.0,912.0,0.008438821
913.0,913.0,0.23882699
914.0,914.0,0.047587227
915.0,915.0,0.8044405
916.0,916.0,0.11854241
917.0,917.0,0.090110905
918.0,918.0,0.12616587
919.0,919.0,2.943745E-4
920.0,920.0,0.5007798
921.0,921.0,0.12875143
922.0,922.0,2.1936659E-4
923.0,923.0,0.3016469
924.0,924.0,0.90635663
925.0,925.0,0.024712007
926.0,926.0,0.3937779
927.0,927.0,0.44296792
928.0,928.0,0.58664626
929.0,929.0,0.050769884
930.0,930.0,0.544811
931.0,931.0,2.9039904E-4
932.0,932.0,0.5976264
933.0,933.0,0.55263054
934.0,934.0,0.03311172
935.0,935.0,0.5030004
936.0,936.0,0.14841469
937.0,937.0,0.19601837
938.0,938.0,0.5780126
939.0,939.0,0.04124448
940.0,940.0,0.86847746
941.0,941.0,0.23385848
942.0,942.0,0.6003059
943.0,943.0,0.18465269
944.0,944.0,0.7214265
945.0,945.0,0.114371255
946.0,946.0,0.6208724
947.0,947.0,0.5928097
948.0,948.0,0.2669644
949.0,949.0,0.1140291
950.0,950.0,0.044930167
951.0,951.0,0.05761001
952.0,952.0,0.24781604
953.0,953.0,0.12595886
954.0,954.0,0.38201496
955.0,955.0,0.06225354
956.0,956.0,0.12018198
957.0,957.0,0.14049819
958.0,958.0,0.1535535
959.0,959.0,0.078190796
960.0,960.0,0.047885645
961.0,961.0,0.4532281
962.0,962.0,0.01876159
963.0,963.0,0.063194744
964.0,964.0,0.38392407
965.0,965.0,0.19295578
966.0,966.0,0.7566945
967.0,967.0,0.6975896
968.0,968.0,0.59393907
969.0,969.0,0.102295354
970.0,970.0,0.26540548
971.0,971.0,0.18550116
972.0,972.0,0.95083916
973.0,973.0,0.32037207
974.0,974.0,0.009464669
975.0,975.0,0.08563635
976.0,976.0,0.38491464
977.0,977.0,0.03726282
978.0,978.0,0.04354648
979.0,979.0,0.008177373
980.0,980.0,0.5274605
981.0,981.0,0.15929157
982.0,982.0,0.45139408
983.0,983.0,0.76034755
984.0,984.0,0.032192003
985.0,985.0,0.61149263
986.0,986.0,0.11529524
987.0,987.0,0.8917093
988.0,988.0,0.062272236
989.0,989.0,0.6233054
990.0,990.0,0.8317154
991.0,991.0,0.24225102
992.0,992.0,0.116555855
993.0,993.0,0.24262492
