species,longitude,latitude
Agyrtodes_labralis,172.8078,-41.8206
Agyrtodes_labralis,172.7372,-41.19
Agyrtodes_labralis,170.1619,-43.3808
Agyrtodes_labralis,171.2578,-42.4083
Agyrtodes_labralis,168.3178,-44.6569
Agyrtodes_labralis,172.3956,-42.3744
Agyrtodes_labralis,167.9519,-45.5933
Agyrtodes_labralis,172.1561,-41.2078
Agyrtodes_labralis,170.0947,-43.7389
Agyrtodes_labralis,171.5903,-43.0217
Agyrtodes_labralis,172.9689,-40.8325
Agyrtodes_labralis,169.8169,-44.1067
Agyrtodes_labralis,169.3806,-44.0114
Agyrtodes_labralis,172.9292,-41.8386
Agyrtodes_labralis,169.4753,-46.5531
Agyrtodes_labralis,171.4158,-43.6269
Agyrtodes_labralis,171.4158,-43.6269
Agyrtodes_labralis,170.0294,-45.9258
Agyrtodes_labralis,170.9725,-44.6647
Agyrtodes_labralis,170.9725,-44.6647
Agyrtodes_labralis,169.4731,-45.9433
Agyrtodes_labralis,168.6025,-46.1317
Agyrtodes_labralis,169.9861,-45.9061
Agyrtodes_labralis,169.0175,-45.5547
Agyrtodes_labralis,171.1503,-44.0011
Agyrtodes_labralis,171.1503,-44.0011
Agyrtodes_labralis,171.5283,-43.5578
Agyrtodes_labralis,171.5283,-43.5578
Agyrtodes_labralis,169.4731,-45.9433
Agyrtodes_labralis,170.9653,-44.6994
Agyrtodes_labralis,170.9653,-44.6994
Agyrtodes_labralis,169.0175,-45.5547
Agyrtodes_labralis,168.3528,-46.545
Agyrtodes_labralis,168.3528,-46.545
Agyrtodes_labralis,171.5283,-43.5578
Agyrtodes_labralis,172.2531,-43.2003
Agyrtodes_labralis,171.4158,-43.6269
Agyrtodes_labralis,171.4158,-43.6269
Agyrtodes_labralis,168.8278,-46.0594
Agyrtodes_labralis,168.8278,-46.0594
Agyrtodes_labralis,174.1064,-41.2836
Agyrtodes_labralis,173.5728,-41.2986
Agyrtodes_labralis,172.7067,-40.7689
Agyrtodes_labralis,174.0319,-41.2022
Agyrtodes_labralis,171.7361,-43.1389
Agyrtodes_labralis,171.7361,-43.1389
Agyrtodes_labralis,168.8278,-46.0594
