species,longitude,latitude
Brachynopus_scutellaris,171.3633,-42.1167
Brachynopus_scutellaris,168.1253,-46.9008
Brachynopus_scutellaris,175.0592,-36.2181
Brachynopus_scutellaris,168.6025,-46.1317
Brachynopus_scutellaris,168.6025,-46.1317
Brachynopus_scutellaris,172.1975,-41.1514
Brachynopus_scutellaris,172.1975,-41.1514
Brachynopus_scutellaris,168.1267,-46.905
Brachynopus_scutellaris,168.1267,-46.905
Brachynopus_scutellaris,169.9861,-45.9061
Brachynopus_scutellaris,169.9861,-45.9061
Brachynopus_scutellaris,170.8703,-44.4342
Brachynopus_scutellaris,170.8703,-44.4342
Brachynopus_scutellaris,168.1256,-46.9017
Brachynopus_scutellaris,168.1256,-46.9017
Brachynopus_scutellaris,168.1303,-46.9281
Brachynopus_scutellaris,168.1303,-46.9281
Brachynopus_scutellaris,172.2239,-43.2275
Brachynopus_scutellaris,172.2239,-43.2275
Brachynopus_scutellaris,171.1503,-44.0011
Brachynopus_scutellaris,171.1503,-44.0011
Brachynopus_scutellaris,169.0175,-45.5547
Brachynopus_scutellaris,171.3611,-42.1164
Brachynopus_scutellaris,171.3611,-42.1164
Brachynopus_scutellaris,172.2531,-43.2003
Brachynopus_scutellaris,172.2531,-43.2003
Brachynopus_scutellaris,168.4411,-45.0008
Brachynopus_scutellaris,168.4411,-45.0008
Brachynopus_scutellaris,169.0175,-45.5547
Brachynopus_scutellaris,172.1483,-42.3497
Brachynopus_scutellaris,172.1483,-42.3497
Brachynopus_scutellaris,168.6025,-46.1317
Brachynopus_scutellaris,168.6025,-46.1317
Brachynopus_scutellaris,171.5903,-43.0217
Brachynopus_scutellaris,171.5903,-43.0217
Brachynopus_scutellaris,168.4194,-46.4306
Brachynopus_scutellaris,168.4194,-46.4306
Brachynopus_scutellaris,172.24,-42.0186
Brachynopus_scutellaris,172.24,-42.0186
Brachynopus_scutellaris,168.0158,-46.9361
Brachynopus_scutellaris,168.0158,-46.9361
Brachynopus_scutellaris,169.4731,-45.9433
Brachynopus_scutellaris,172.2786,-42.3786
Brachynopus_scutellaris,172.2786,-42.3786
Brachynopus_scutellaris,169.3811,-44.0122
Brachynopus_scutellaris,171.4003,-42.105
Brachynopus_scutellaris,168.1267,-46.905
Brachynopus_scutellaris,171.3486,-42.5531
Brachynopus_scutellaris,168.3528,-46.545
Brachynopus_scutellaris,168.3528,-46.545
Brachynopus_scutellaris,171.3633,-42.1167
Brachynopus_scutellaris,171.3633,-42.1167
Brachynopus_scutellaris,172.0581,-42.2919
Brachynopus_scutellaris,170.9653,-44.6994
Brachynopus_scutellaris,170.9653,-44.6994
Brachynopus_scutellaris,169.2344,-44.2289
Brachynopus_scutellaris,169.2344,-44.2289
Brachynopus_scutellaris,169.2344,-44.2289
Brachynopus_scutellaris,169.2344,-44.2289
Brachynopus_scutellaris,171.2392,-44.0844
Brachynopus_scutellaris,171.2392,-44.0844
Brachynopus_scutellaris,171.3486,-42.5531
Brachynopus_scutellaris,171.3486,-42.5531
Brachynopus_scutellaris,171.4158,-43.6269
Brachynopus_scutellaris,171.4158,-43.6269
Brachynopus_scutellaris,169.3794,-44.0589
Brachynopus_scutellaris,168.3178,-44.6569
Brachynopus_scutellaris,168.3178,-44.6569
Brachynopus_scutellaris,172.1975,-41.1514
Brachynopus_scutellaris,172.1975,-41.1514
Brachynopus_scutellaris,171.2603,-43.8894
Brachynopus_scutellaris,171.2603,-43.8894
Brachynopus_scutellaris,169.3142,-43.9561
Brachynopus_scutellaris,169.3142,-43.9561
Brachynopus_scutellaris,171.3083,-43.6172
Brachynopus_scutellaris,171.3083,-43.6172
Brachynopus_scutellaris,169.2344,-44.2289
Brachynopus_scutellaris,169.2344,-44.2289
Brachynopus_scutellaris,172.8339,-43.7833
Brachynopus_scutellaris,172.8339,-43.7833
Brachynopus_scutellaris,170.9653,-44.6994
Brachynopus_scutellaris,170.9653,-44.6994
Brachynopus_scutellaris,172.24,-42.0186
Brachynopus_scutellaris,172.24,-42.0186
Brachynopus_scutellaris,171.8644,-42.1203
Brachynopus_scutellaris,170.8703,-44.4342
Brachynopus_scutellaris,172.1075,-41.1089
Brachynopus_scutellaris,170.8703,-44.4342
Brachynopus_scutellaris,170.8408,-44.3425
Brachynopus_scutellaris,170.8408,-44.3425
Brachynopus_scutellaris,170.8408,-44.3425
Brachynopus_scutellaris,170.8408,-44.3425
Brachynopus_scutellaris,171.5283,-43.5578
Brachynopus_scutellaris,171.5283,-43.5578
Brachynopus_scutellaris,167.3831,-45.9906
Brachynopus_scutellaris,167.3831,-45.9906
Brachynopus_scutellaris,170.9744,-45.0769
Brachynopus_scutellaris,170.9744,-45.0769
Brachynopus_scutellaris,172.1919,-41.1344
Brachynopus_scutellaris,172.1919,-41.1344
Brachynopus_scutellaris,169.2344,-44.2289
Brachynopus_scutellaris,169.2344,-44.2289
