X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.008725299602875318,93.90436277885763,0.9795200928132596
2.0,2.0,train,0.003659800555752721,59.53573221718996,0.8042545728952433
3.0,3.0,train,0.00334439621785114,56.36206384382063,0.7747140185000644
4.0,4.0,train,0.003287925075447692,55.03251838883025,0.7689726226835292
5.0,5.0,train,0.00370115527412256,60.273098124531415,0.8078289604760601
6.0,6.0,train,0.005852211162693149,80.30344360595463,0.9263151638557799
7.0,7.0,train,0.0015312381908086684,34.38979383908359,0.4945850270532608
8.0,8.0,train,0.0014751724794216006,32.68244846282448,0.481798200025255
9.0,9.0,train,0.0012383233720885654,26.88950171921514,0.42411192784392726
10.0,10.0,train,0.003190632587088072,53.08486346372175,0.758735632405688
11.0,11.0,train,0.0031953988849420484,53.40415534683165,0.7592475427011846
12.0,12.0,train,0.0063712349023592706,82.77559170931202,0.9415307390895552
13.0,13.0,train,0.00308206385952344,50.91124773462645,0.7467757476678811
14.0,14.0,train,7.355258633049913E-4,15.372564968461976,0.27947638625486027
15.0,15.0,train,0.007449019954962785,89.81404878575285,0.9638310533870167
16.0,16.0,train,0.005173368570332476,75.88816152910776,0.900285212223473
17.0,17.0,train,0.0011557694056949128,25.053092699671595,0.40253101521586976
18.0,18.0,train,0.00162721408364654,36.27658684354557,0.5157460447189601
19.0,19.0,train,4.2298663085188677E-4,8.06435245529389,0.1717980347045419
20.0,20.0,train,0.0022835991614605215,43.845299597039414,0.6385584308749523
21.0,21.0,train,0.0033213545178739745,55.69519398134824,0.7723888150631198
22.0,22.0,train,0.002398046334884526,45.02194423789292,0.6565304130946021
23.0,23.0,train,0.0021531009295917506,42.32102009393865,0.6169156672509455
24.0,24.0,train,0.0026905669448108703,46.52810510948225,0.6985088264887398
25.0,25.0,train,0.0015763654712240133,35.63611403655247,0.504647583317327
26.0,26.0,train,0.0016338901647467467,36.60259210193612,0.5171846099236945
27.0,27.0,train,0.0021396138159983425,41.852632710132916,0.61460626365817
28.0,28.0,train,0.002070491774752955,40.58501675808247,0.602550134991752
29.0,29.0,train,0.010076961577589827,96.7999960811697,0.9887867680365297
30.0,30.0,train,0.008222591390001026,92.16576097320348,0.9743775392176556
31.0,31.0,train,0.003673282608020959,59.903079956275974,0.8054271037794514
32.0,32.0,train,0.003301975080470178,55.36269847016813,0.7704146108044441
33.0,33.0,train,0.0028177275124348523,47.6363074677685,0.7151184829253224
34.0,34.0,train,0.0035108421401871537,57.737966860264514,0.790819761775759
35.0,35.0,train,0.004762193138929814,72.3697512052223,0.8802329359616576
36.0,36.0,train,1.7799727577811998E-4,3.22054320346147,0.07625762697133243
37.0,37.0,train,0.0010490245669037073,22.555510383442094,0.37342294556775246
38.0,38.0,train,0.001062192800641379,22.802023914832947,0.37708908527140783
39.0,39.0,train,9.720959819852322E-4,20.1476121441256,0.3515700784760575
40.0,40.0,train,0.0010301735661405022,21.57768590120277,0.36813709345072354
41.0,41.0,train,1.116802266496218E-4,1.7312187031240345,0.04855060010588763
42.0,42.0,train,0.0010378743368827704,22.059849608510028,0.37030176855019503
43.0,43.0,train,8.749142460642294E-4,18.188049190419598,0.32287110013635767
44.0,44.0,train,4.445122165767707E-4,8.72137262521536,0.17970464881422366
45.0,45.0,train,0.006297493277936761,82.13847795781325,0.9395774056963686
46.0,46.0,train,0.005718464929005846,79.71823951879108,0.9217898671225863
47.0,47.0,train,0.00866079965149498,93.03183750221332,0.9789228862860571
48.0,48.0,train,0.007300083910667163,89.06916657363955,0.9613490156376258
49.0,49.0,train,0.004505385259474555,68.14725373401146,0.8657113403575164
50.0,50.0,train,0.010852146669805234,100.0,0.9920621391807308
51.0,51.0,train,0.0047441886086044055,71.4175444874601,0.8792681226496998
52.0,52.0,train,0.0023681798356667205,44.543846515429784,0.6519284132167212
53.0,53.0,train,0.002017677272421173,40.15990404811886,0.5930847777940298
54.0,54.0,train,0.003035059220435684,50.600426219971965,0.7414155206307965
