x,y,species cloglog values
228.0,228.0,0.051513378
229.0,229.0,0.0022006843
230.0,230.0,0.30592915
231.0,231.0,0.06302206
232.0,232.0,0.9056045
233.0,233.0,0.106975116
234.0,234.0,0.21755238
235.0,235.0,0.044823572
236.0,236.0,0.15143366
237.0,237.0,0.101175465
238.0,238.0,0.8345628
239.0,239.0,0.06840932
240.0,240.0,0.21871728
241.0,241.0,0.0060960846
242.0,242.0,0.95406485
243.0,243.0,0.046342127
244.0,244.0,0.13851199
245.0,245.0,0.26223785
246.0,246.0,0.03385661
247.0,247.0,0.11136864
248.0,248.0,0.02176287
249.0,249.0,0.037043706
250.0,250.0,0.4138946
251.0,251.0,0.34554452
252.0,252.0,0.21725681
253.0,253.0,0.085785165
254.0,254.0,0.055417944
255.0,255.0,0.1373398
256.0,256.0,0.43800116
257.0,257.0,0.024763564
258.0,258.0,0.014751534
259.0,259.0,0.2555669
260.0,260.0,0.10492545
261.0,261.0,0.035477024
262.0,262.0,5.163497E-4
263.0,263.0,0.05353358
264.0,264.0,0.29689822
265.0,265.0,0.02001368
266.0,266.0,0.004670954
267.0,267.0,0.120283045
268.0,268.0,0.4360487
269.0,269.0,0.27400997
270.0,270.0,0.14132844
271.0,271.0,0.13544266
272.0,272.0,0.00486652
273.0,273.0,0.05864533
274.0,274.0,0.11583384
275.0,275.0,0.7659567
276.0,276.0,0.14732255
277.0,277.0,0.37279958
278.0,278.0,0.74715495
279.0,279.0,0.15098952
280.0,280.0,0.14396718
281.0,281.0,0.5005042
282.0,282.0,0.12675996
283.0,283.0,0.02068423
284.0,284.0,0.6878281
285.0,285.0,0.044509515
286.0,286.0,0.15352535
287.0,287.0,0.16427234
288.0,288.0,0.06642579
289.0,289.0,0.028050806
290.0,290.0,0.44377562
291.0,291.0,0.019843696
292.0,292.0,0.39594018
293.0,293.0,0.090828694
294.0,294.0,0.36672315
295.0,295.0,0.03298456
296.0,296.0,0.27604142
297.0,297.0,0.50113565
298.0,298.0,0.17911029
299.0,299.0,0.014285309
300.0,300.0,0.443324
301.0,301.0,0.057526033
302.0,302.0,0.48447376
303.0,303.0,0.05659746
304.0,304.0,0.019966815
305.0,305.0,0.06892468
306.0,306.0,0.012022767
307.0,307.0,0.10797379
308.0,308.0,0.083033085
309.0,309.0,0.021876335
310.0,310.0,0.5502936
311.0,311.0,0.5098419
312.0,312.0,0.064717785
313.0,313.0,0.03696458
314.0,314.0,0.059656247
315.0,315.0,0.028385635
316.0,316.0,0.33571294
317.0,317.0,0.018316528
318.0,318.0,0.15437466
319.0,319.0,0.31721416
320.0,320.0,0.4497083
321.0,321.0,0.020792382
322.0,322.0,0.0056584976
323.0,323.0,0.057589337
324.0,324.0,0.07174314
325.0,325.0,0.1441086
326.0,326.0,0.6687177
327.0,327.0,0.029765625
328.0,328.0,0.083780125
329.0,329.0,0.4366048
330.0,330.0,0.65861243
331.0,331.0,0.025545394
332.0,332.0,0.41934776
333.0,333.0,9.863524E-4
334.0,334.0,0.32899427
335.0,335.0,0.03835794
336.0,336.0,0.1657056
337.0,337.0,0.25691482
338.0,338.0,0.26801887
339.0,339.0,0.03872885
340.0,340.0,0.7069111
341.0,341.0,0.41901028
342.0,342.0,0.034733202
343.0,343.0,0.106544435
344.0,344.0,0.03537184
345.0,345.0,0.47402847
346.0,346.0,0.03770211
347.0,347.0,0.12787546
348.0,348.0,0.13609517
349.0,349.0,0.0021808248
350.0,350.0,0.21080996
351.0,351.0,0.043513145
352.0,352.0,0.1149332
353.0,353.0,0.16564178
354.0,354.0,0.026101984
355.0,355.0,0.017999044
356.0,356.0,0.033906434
357.0,357.0,0.4474813
358.0,358.0,0.3153375
359.0,359.0,0.09455924
360.0,360.0,0.011389852
361.0,361.0,0.0054409923
362.0,362.0,0.48542908
363.0,363.0,0.040637597
364.0,364.0,0.43186447
365.0,365.0,0.5936962
366.0,366.0,0.34090513
367.0,367.0,0.6283486
368.0,368.0,0.39310074
369.0,369.0,0.49680257
370.0,370.0,0.45837393
371.0,371.0,0.0066178255
372.0,372.0,0.023409694
373.0,373.0,9.434322E-4
374.0,374.0,0.08467654
375.0,375.0,0.31235564
376.0,376.0,0.10474121
377.0,377.0,0.016658392
378.0,378.0,0.06338343
379.0,379.0,0.08705822
380.0,380.0,0.9689983
381.0,381.0,0.039691485
382.0,382.0,0.09445747
383.0,383.0,0.4586027
384.0,384.0,0.3279119
385.0,385.0,0.021724386
386.0,386.0,0.09700232
387.0,387.0,0.16221356
388.0,388.0,0.17832986
389.0,389.0,0.44429076
390.0,390.0,0.018457383
391.0,391.0,0.2691907
392.0,392.0,0.24429373
393.0,393.0,0.035359863
394.0,394.0,0.14404903
395.0,395.0,0.022541365
396.0,396.0,0.028702889
397.0,397.0,0.093771875
398.0,398.0,0.06318734
399.0,399.0,0.059896734
400.0,400.0,0.100658916
401.0,401.0,0.16093346
402.0,402.0,0.0525042
403.0,403.0,0.1426017
404.0,404.0,0.17955384
405.0,405.0,0.19422868
406.0,406.0,0.6129274
407.0,407.0,0.747328
408.0,408.0,0.30482364
409.0,409.0,0.01577336
410.0,410.0,0.37225863
411.0,411.0,0.051604867
412.0,412.0,0.5242969
413.0,413.0,3.885386E-6
414.0,414.0,0.4900972
415.0,415.0,0.0014152938
416.0,416.0,0.59378916
417.0,417.0,0.2554735
418.0,418.0,0.35240114
419.0,419.0,0.098827645
420.0,420.0,0.08235149
421.0,421.0,0.08506415
422.0,422.0,0.23267394
423.0,423.0,0.4015873
424.0,424.0,0.47176066
425.0,425.0,0.7289333
426.0,426.0,0.81957895
427.0,427.0,0.6384154
428.0,428.0,0.058013923
429.0,429.0,0.4729463
430.0,430.0,0.06071244
431.0,431.0,0.28441137
432.0,432.0,0.36120945
433.0,433.0,0.46906728
434.0,434.0,0.2474265
435.0,435.0,0.91913027
436.0,436.0,0.9021271
437.0,437.0,0.09794026
438.0,438.0,0.76611507
439.0,439.0,0.1871714
440.0,440.0,0.10588196
441.0,441.0,0.05029546
442.0,442.0,0.22488305
443.0,443.0,9.621979E-4
444.0,444.0,0.6068421
445.0,445.0,0.54460514
446.0,446.0,0.5187219
447.0,447.0,0.4168014
448.0,448.0,0.04835705
449.0,449.0,0.0025487617
450.0,450.0,0.5189943
451.0,451.0,0.0631367
452.0,452.0,0.14843032
453.0,453.0,0.5001357
454.0,454.0,0.15529636
455.0,455.0,0.0065934528
456.0,456.0,0.23207407
457.0,457.0,0.05693227
458.0,458.0,0.23776107
459.0,459.0,0.4928712
460.0,460.0,0.30004856
461.0,461.0,0.22623838
462.0,462.0,0.1119518
463.0,463.0,0.026091294
464.0,464.0,0.21789691
465.0,465.0,0.02761614
466.0,466.0,0.022138858
467.0,467.0,0.14099158
468.0,468.0,0.487133
469.0,469.0,0.06220548
470.0,470.0,0.024807429
471.0,471.0,0.8952053
472.0,472.0,0.16431029
473.0,473.0,0.032848448
474.0,474.0,0.2109172
475.0,475.0,0.100077204
476.0,476.0,0.019902082
477.0,477.0,0.48120463
478.0,478.0,0.52650356
479.0,479.0,0.066280335
480.0,480.0,0.24636674
481.0,481.0,0.025984706
482.0,482.0,0.05588105
483.0,483.0,0.031424962
484.0,484.0,0.24134153
485.0,485.0,0.29196283
486.0,486.0,0.050531216
487.0,487.0,0.40219104
488.0,488.0,0.12032189
489.0,489.0,0.022010013
490.0,490.0,0.11278088
491.0,491.0,0.14245671
492.0,492.0,0.024395155
493.0,493.0,0.082719184
494.0,494.0,0.041065466
495.0,495.0,0.2872793
496.0,496.0,0.80098164
497.0,497.0,0.44042704
498.0,498.0,0.02364515
499.0,499.0,0.007134083
500.0,500.0,0.17601246
501.0,501.0,0.835348
502.0,502.0,0.1804982
503.0,503.0,0.04622336
504.0,504.0,0.04265912
505.0,505.0,0.0933273
506.0,506.0,0.20025712
507.0,507.0,0.8340958
508.0,508.0,0.026572917
509.0,509.0,0.50206774
510.0,510.0,0.027670586
511.0,511.0,0.027669474
512.0,512.0,0.03098657
513.0,513.0,0.11233871
514.0,514.0,0.49897927
515.0,515.0,0.024520159
516.0,516.0,0.10603649
517.0,517.0,0.019109648
518.0,518.0,0.034602955
519.0,519.0,0.48488313
520.0,520.0,0.26136646
521.0,521.0,0.34395817
522.0,522.0,0.03459174
523.0,523.0,0.16617985
524.0,524.0,0.058144867
525.0,525.0,0.66118944
526.0,526.0,0.02160248
527.0,527.0,0.27087253
528.0,528.0,0.24773881
529.0,529.0,0.13935207
530.0,530.0,0.087028034
531.0,531.0,0.04380855
532.0,532.0,0.54325986
533.0,533.0,0.012788022
534.0,534.0,0.16106316
535.0,535.0,0.51594126
536.0,536.0,0.018124746
537.0,537.0,0.22132935
538.0,538.0,0.053522445
539.0,539.0,0.4596138
540.0,540.0,0.02781209
541.0,541.0,0.3968435
542.0,542.0,0.3154811
543.0,543.0,0.008791186
544.0,544.0,0.22478424
545.0,545.0,0.08480877
546.0,546.0,0.08508907
547.0,547.0,0.2265578
548.0,548.0,0.32749218
549.0,549.0,0.03523197
550.0,550.0,0.16175029
551.0,551.0,0.43651336
552.0,552.0,0.12845615
553.0,553.0,0.96463645
