X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.0018478037550400336,64.06565758220617,0.7405393843517933
2.0,2.0,train,0.0023010699961757866,73.129137274292,0.813644087620896
3.0,3.0,train,6.964182385822639E-4,21.45698988711671,0.3985915149820338
4.0,4.0,train,0.0025809650346889355,77.55876373599317,0.8480887364227028
5.0,5.0,train,0.0011262968067416905,38.53058334783412,0.5606026968780862
6.0,6.0,train,0.001982962769899946,66.34835294012682,0.7649213147152407
7.0,7.0,train,0.002493666912079992,75.78445422467288,0.8380907214263785
8.0,8.0,train,0.0018459068448310962,63.880175669056214,0.7401797811826961
9.0,9.0,train,9.81128322312975E-4,32.96869717194102,0.5114719254532354
10.0,10.0,train,0.0014554727970451187,50.29683776141186,0.6544765999685418
11.0,11.0,train,5.759097039311018E-4,14.936750442029304,0.3432771093351771
12.0,12.0,train,0.0025101297790526213,76.28552675114481,0.8400252457104616
13.0,13.0,train,0.0011993098020758493,41.55333582960234,0.5834133369811659
14.0,14.0,train,0.00235616440378067,73.82811093954761,0.8209917537397181
15.0,15.0,train,5.006726748612593E-4,11.245219211979224,0.30619183191121424
16.0,16.0,train,0.004628190867057337,93.3535257793401,0.9659257927543458
17.0,17.0,train,6.017638570924923E-4,16.302829069100337,0.355557843244971
18.0,18.0,train,0.0012305472167702606,42.764053331529745,0.5928071466877526
19.0,19.0,train,0.00332037936855511,84.7524771307524,0.91146281728404
20.0,20.0,train,0.0032487516625204016,84.09490323697072,0.9067092776507716
21.0,21.0,train,0.003160937068000087,82.80862984858658,0.9005318620950146
22.0,22.0,train,0.001067036697056852,36.40890182869013,0.5411735490760639
23.0,23.0,train,0.0036518373211011424,87.90060657312709,0.9304940188583503
24.0,24.0,train,8.148442288622429E-4,26.29822571341689,0.44840882218170597
25.0,25.0,train,0.001653958099128923,58.130193442940474,0.7010910967139448
26.0,26.0,train,6.377274770252835E-4,18.191103157876793,0.3722596091336752
27.0,27.0,train,6.583939133365413E-4,19.691059674254408,0.3816606878213895
28.0,28.0,train,0.002316118099259648,73.3607199495772,0.8156804065087477
29.0,29.0,train,4.8163795226522195E-4,10.368819436241075,0.2964819965324297
30.0,30.0,train,6.107871793651404E-4,16.787763705217607,0.3597896427253803
31.0,31.0,train,0.001650138753357416,58.04322246890396,0.7002563820868732
32.0,32.0,train,0.0010439489329121259,35.30914331529967,0.5333734435891222
33.0,33.0,train,0.001407136283869174,48.00499811596768,0.6420645517855874
34.0,34.0,train,0.0010920090869113617,37.0882586979752,0.549463649121743
35.0,35.0,train,0.0025149601317052293,76.53703474674907,0.8405884541887982
36.0,36.0,train,0.0012564101357130303,43.513243018286786,0.6004242202574858
37.0,37.0,train,0.0015999442309952716,55.53154884066708,0.689067330176856
38.0,38.0,train,0.003521600524839878,86.45334914599187,0.9235601967741128
39.0,39.0,train,0.00457026014806598,92.43035354441464,0.9644536283281517
40.0,40.0,train,0.0016176231671196644,56.61141356039234,0.6930550722265976
41.0,41.0,train,0.0036905550359742382,88.26964617892384,0.9324313875417339
42.0,42.0,train,0.0011515750859020359,39.5481519535018,0.568638101709955
43.0,43.0,train,4.8789574149286035E-4,10.562660056236933,0.2996890697645672
44.0,44.0,train,0.001639448712212266,57.79970708493455,0.6979076698590458
45.0,45.0,train,9.649282885974759E-4,32.19976769595686,0.5056591846752643
46.0,46.0,train,0.0015870009320649845,54.891936006596794,0.6861149683178451
47.0,47.0,train,0.002103714735936748,69.65086687202685,0.7847597641644494
48.0,48.0,train,0.0033491433817622765,85.08945434136838,0.9133028570575534
49.0,49.0,train,0.007077607931445133,99.29190036874542,0.9943019155032795
50.0,50.0,train,0.0014809559490332903,50.88729744136828,0.6608460377043839
51.0,51.0,train,0.00577462158765974,97.8777038539457,0.9852463732328836
52.0,52.0,train,0.0012149565208158636,42.455747222260634,0.588145446228145
53.0,53.0,train,0.002991608759369091,81.25266243611071,0.8874418162357616
54.0,54.0,train,9.189107228604525E-4,30.24562815364699,0.48876757618651123
55.0,55.0,train,0.0015046813091442108,51.635487723070284,0.666670529721953
56.0,56.0,train,0.002496728119179646,76.03436445131155,0.8384522009501945
57.0,57.0,train,0.0031966461184806073,83.12853310186763,0.9030917298236301
58.0,58.0,train,8.364833980310426E-4,27.069085132530574,0.4570552373853436
59.0,59.0,train,2.976333616092951E-4,3.3593044048502962,0.195322099379042
60.0,60.0,train,0.0026992295206545074,78.08878302649052,0.8606557832861939
61.0,61.0,train,5.816253275147861E-4,15.195689928190696,0.34601202790427577
62.0,62.0,train,0.0017019454837338506,59.9574684121936,0.7113827319207221
63.0,63.0,train,0.0034105051718052604,86.10113606069223,0.9171013811938029
64.0,64.0,train,0.0017288413749827597,61.355117319035955,0.7169952204564061
65.0,65.0,train,0.0029321889154707787,80.6561300924507,0.8824510410671741
66.0,66.0,train,0.0028597666296861445,79.49292266133006,0.8760679876949389
67.0,67.0,train,6.399848054699926E-4,18.312870691175718,0.37329337334073
68.0,68.0,train,0.007065582895370171,98.58443161826587,0.9942516664698268
69.0,69.0,train,0.0013182963634069704,45.835052142874964,0.6180773911732242
70.0,70.0,train,4.4892193169743293E-4,9.092261311187572,0.27947461096185744
71.0,71.0,train,0.004367979206017592,91.08008130982198,0.9587961812670759
